diferencias en X:
 20180919
Carlos Pino León
epid3485g5m39.conf
 3485
MLC(mm)/GAP(mm);-50;-30;-10;10;30;50;
-95;-0.05474;0.1015;0.2578;0.4141;0.2344;
-90;-0.05474;0.1015;0.2578;0.07814;0.2344;
-85;-0.05474;0.1015;0.2578;0.4141;0.2344;
-80;-0.05474;0.1015;0.2578;0.4141;0.2344;
-75;-0.05474;0.1015;0.2578;0.4141;0.2344;
-70;-0.05474;0.1015;0.2578;0.4141;0.2344;
-65;-0.05474;0.1015;0.2578;0.4141;0.2344;
-60;-0.05474;0.1015;0.2578;0.4141;0.2344;
-55;-0.05474;0.1015;0.2578;0.4141;0.2344;
-50;-0.05474;0.1015;0.2578;0.4141;0.2344;
-45;-0.05474;0.1015;0.2578;0.07814;0.2344;
-40;-0.05474;0.1015;0.2578;0.07814;0.2344;
-35;-0.05474;0.1015;0.2578;0.07814;0.2344;
-30;-0.05474;0.1015;0.2578;0.07814;0.2344;
-25;-0.05474;0.1015;0.2578;0.07814;0.2344;
-20;-0.3907;-0.2344;-0.07814;-0.2578;-0.1015;
-15;-0.05474;0.1015;0.2578;0.07814;0.2344;
-10;-0.05474;0.1015;0.2578;0.07814;0.2344;
-5;-0.05474;0.1015;0.2578;0.07814;0.2344;
0;-0.05474;0.1015;0.2578;0.07814;0.2344;
5;-0.3907;-0.5703;-0.4141;-0.2578;-0.4375;
10;-0.05474;0.1015;0.2578;0.07814;0.2344;
15;-0.05474;0.1015;0.2578;0.07814;0.2344;
20;-0.05474;0.1015;0.2578;0.07814;0.2344;
25;-0.05474;0.1015;0.2578;0.07814;0.2344;
30;-0.05474;0.1015;0.2578;0.07814;0.2344;
35;-0.05474;0.1015;0.2578;0.07814;0.2344;
40;-0.05474;0.1015;0.2578;0.07814;0.2344;
45;-0.05474;0.1015;-0.07814;0.07814;0.2344;
50;-0.05474;0.1015;0.2578;0.07814;0.2344;
55;-0.05474;0.1015;0.2578;0.07814;0.2344;
60;-0.05474;0.1015;0.2578;0.07814;0.2344;
65;-0.05474;0.1015;0.2578;0.07814;0.2344;
70;-0.05474;0.1015;0.2578;0.07814;0.2344;
75;-0.05474;0.1015;0.2578;0.07814;0.2344;
80;-0.05474;0.1015;0.2578;0.07814;0.2344;
85;-0.05474;0.1015;0.2578;0.07814;0.2344;
90;-0.05474;0.1015;0.2578;0.07814;0.2344;
95;-0.05474;0.1015;0.2578;0.07814;0.2344;
